Code,type,Profession
0279,FR,autres directeurs et cadres responsables des autres services sociaux n.c.a
0279,AR,مديرون واطر مسوولة بالخدمات الاجتماعية اخرون غير مصنفين اعلاه
0279,FR,autres directeurs et cadres responsables des autres services sociaux n.c.a.
0279,AR,مديرون واطر مسوولة بالخدمات االجتماعية اخرون غير مصنف ي ن اعاله
0290,AR,المديرون والاطر المسوولة بموسسات الخدمات الاجتماعية ( القطاع العمومي والخاص) غير المصنفين اعلاه
0290,FR,directeurs et cadres responsables des établissements des services sociaux (public et privé) n.c.a
0290,AR,المديرون و االطر المسوولة بموسسات الخدمات االجتماعية (القطاع العمومي و الخاص ) غير ال مصنف ين اعاله
0290,FR,directeurs et cadres responsables des établissements des services sociaux (public et privé) n.c.a.
0311,AR,المديرون العامون، المديرون، المديرون المختصون والمديرون المساعدون بالشركات الفلاحية والغابوية
0311,FR,"directeurs généraux, directeurs, directeurs spécialisés et directeurs adjoints de sociétés agricoles et forestières"
0311,AR,ال مديرون ال ،عامون ال ،مديرون ال مديرون ال مختصون و ال مديرون ال مساعدون بالشركات الفالحية والغابوية
0319,FR,autres directeurs et cadres dirigeants des sociétés agricoles et forestières n.c.a.
0319,AR,مديرون واطر مسيرة للشركات الفلاحية والغابوية اخرون غير مصنفين اعلاه
0319,FR,autres directeurs et cadres dirigeants des sociétés agricoles et forestières n.c.a
0319,AR,مديرون واطر مسيرة للشركات الفالحية والغابوية اخرون غير مصنفين اعاله
0321,AR,مديرون عامون، مديرون، مديرون مختصون ومديرون مساعدون بشركات الصيد
0321,FR,"directeurs généraux, directeurs, directeurs spécialisés et directeurs adjoints de sociétés de pêche"
0329,FR,autres directeurs et cadres dirigeants de sociétés de pêche n.c.a.
0329,AR,مديرون واطر مسيرة لشركات الصيد اخرون غير مصنفين اعلاه
0329,AR,مديرون واطر مسيرة لشركات الصيد اخرون غير مصنفين اعاله
0329,FR,autres directeurs et cadres dirigeants de sociétés de pêche n.c.a
0331,FR,"directeurs généraux, directeurs, directeurs spécialisés et directeurs adjoints de sociétés de btp"
0331,AR,المديرون العامون، المديرون، المديرون المختصون والمديرون المساعدون لشركات البناء واالشغال العمومية
0331,AR,المديرون العامون، المديرون، المديرون المختصون والمديرون المساعدون لشركات البناء والاشغال العمومية
0339,AR,مديرون واطر مسيرة لشركات البناء والاشغال العمومية اخرون غير مصنفين اعلاه
0339,FR,autres directeurs et cadres dirigeants de sociétés de bâtiments et travaux publics (btp) n.c.a
0339,AR,مديرون واطر مسيرة لشركات البناء واالشغال العمومية اخرون غير مصنفين اعاله
0339,FR,autres directeurs et cadres dirigeants de sociétés de bâtiments et travaux publics (btp) n.c.a.
0341,FR,"directeurs généraux, directeurs, directeurs spécialisés et directeurs adjoints de sociétés industrielles"
0341,AR,المديرون العامون، المديرون، المديرون المختصون والمديرون المساعدون للشركات الصناعية
0349,AR,مديرون واطر مسيرة للشركات الصناعية اخرون غير مصنفين اعاله
0349,FR,autres directeurs et cadres dirigeants de sociétés industrielles n.c.a
0349,AR,مديرون واطر مسيرة للشركات الصناعية اخرون غير مصنفين اعلاه
0349,FR,autres directeurs et cadres dirigeants de sociétés industrielles n.c.a.
0351,FR,"directeurs généraux, directeurs, directeurs spécialisés et directeurs adjoints de sociétés minières"
0351,AR,،المديرون العامون، المديرون المديرون المختصون والمديرون المساعدون للشركات المنجمية
0351,AR,المديرون العامون، المديرون، المديرون المختصون والمديرون المساعدون للشركات المنجمية
0359,AR,مديرون واطر مسيرة للشركات المنجمية اخرون غير مصنفين اعلاه
0359,FR,autres directeurs et cadres dirigeants de sociétés minières n.c.a.
0359,AR,مديرون واطر مسيرة للشركات المنجمية اخرون غير مصنفين اعاله
0359,FR,autres directeurs et cadres dirigeants de sociétés minières n.c.a
0361,FR,directeurs d'hôtels et de restaurants
0361,AR,مديرو الفنادق والمطاعم
0362,AR,مديرو المحلات التجارية الكبري
0362,FR,directeurs de grands magasins commerciaux
0362,AR,مديرو المحالت التجارية الكبري
0369,AR,مديرون واطر مسيرة للفنادق والمطاعم والمحالت التجارية الكبري اخرون غير مصنف ين اعاله
0369,FR,"autres directeurs et cadres dirigeants d'hôtels, de restaurants et de grands magasins commerciaux n.c.a."
0369,AR,مديرون واطر مسيرة للفنادق والمطاعم والمحلات التجارية الكبري اخرون غير مصنفين اعلاه
0369,FR,"autres directeurs et cadres dirigeants d'hôtels, de restaurants et de grands magasins commerciaux n.c.a"
0371,FR,"directeurs des sociétés l'intermédiation financière, immobilière et des services aux entreprises"
0371,AR,ال مديرو ن و االطر المسرة للمقاوالت المختصة في الوساطة المالية والعقارات والخدمات المقدمة للمقاوالت
0371,AR,المديرون والاطر المسرة للمقاولات المختصة في الوساطة المالية والعقارات والخدمات المقدمة للمقاولات
0371,FR,"directeurs des sociétés d'intermédiation financière, immobilière et des services fournis aux entreprises"
0379,FR,"autres directeurs et cadres dirigeants des sociétés d'intermédiation financière, immobilière et des services fournis aux entreprises n.c.a."
0379,FR,"autres directeurs des sociétés de l'intermédiation financière, immobilière et des services fournis aux entreprises n.c.a"
0379,AR,مديرو ن و اطر مسرة للمقاوالت المختصة في الوساطة المالية والعقارات والخدمات المقدمة للمقاوالت اخرون غير مصنف ين اعاله
0379,AR,مديرون واطر مسرة للمقاولات المختصة في الوساطة المالية والعقارات والخدمات المقدمة للمقاولات اخرون غير مصنفين اعلاه
0381,FR,directeurs et cadres de direction de l'information et des technologies de l'information
0381,AR,مديرو واطر مسيرة في المعلومات وخدمات تكنولوجيا المعلومات
0381,FR,directeurs des sociétés de l'information et des technologies de l'information
0389,FR,autres directeurs et cadres de direction de l'information et des technologies de l'information n.c.a
0389,AR,مديرو واطر مسيرة في المعلومات وخدمات تكنولوجيا المعلومات اخرون غير مصنفين اعلاه
0389,FR,autres directeurs et cadres de direction des sociétés de l'information et des technologies de l'information n.c.a.
0389,AR,مديرو واطر مسيرة في المعلومات وخدمات تكنولوجيا المعلومات اخرون غير مصنفين اعاله
0390,AR,مديرون واطر مسيرة لشركات وشبه شركات(بما في ذلك مقاوالت القطاع العمومي و شبه العمومي )غير مصنف ي ن اعاله
0390,FR,directeurs et cadres dirigeants de sociétés ou quasi-sociétés (y compris les entreprises publiques et semi-publiques) n.c.a
0390,AR,مديرون واطر مسيرة لشركات وشبه شركات (بما في ذلك مقاولات القطاع العمومي وشبه العمومي) غير مصنفين اعلاه
0390,FR,directeurs et cadres dirigeants de sociétés ou quasi-sociétés (y compris les entreprises publiques et semi-publiques) n.c.a.
0411,AR,ارباب المقاوالت الفالحية والغابوية غير المنظمة كشركات او شبه شركات
0411,FR,patrons d'entreprises agricoles et forestières non organisées en sociétés ou quasi-sociétés
0411,AR,ارباب المقاولات الفلاحية والغابوية غير المنظمة كشركات او شبه شركات
0412,AR,ارباب مقاوالت الصيد غير المنظمة كشركات او شبه شركات
0412,AR,ارباب مقاولات الصيد غير المنظمة كشركات او شبه شركات
0412,FR,patrons d'entreprises de pêche non organisées en sociétés ou quasi-sociétés
0412,FR,patrons d'entreprises de pêche non organisées en sociétés ou quasi- sociétés
0413,AR,ارباب المقاوالت المنجمية وما شابهها غير المنظمة كشركات او شبه شركات
0413,FR,patrons d'entreprises minières et assimilées non organisées en sociétés ou quasi-sociétés
0413,AR,ارباب المقاولات المنجمية وما شابهها غير المنظمة كشركات او شبه شركات
0414,FR,patrons d'entreprises de bâtiments et travaux publics non organisées en sociétés ou quasi-sociétés
0414,AR,ارباب مقاولات البناء والاشغال العمومية غير المنظمة كشركات او شبه شركات
0414,AR,ارباب مقاوالت البناء واالشغال العمومية غير المنظمة كشركات او شبه شركات
0415,FR,patrons d'entreprises de services non organisées en sociétés ou quasi-sociétés
0415,AR,ارباب مقاولات الخدمات غير المنظمة كشركات او شبه شركات
0415,FR,patrons d'entreprises de services non organisées en sociétés ou quasi- sociétés
0415,AR,ارباب مقاوالت الخدمات غير المنظمة كشركات او شبه شركات
0416,FR,patrons d'entreprises industrielles non organisées en sociétés ou quasi-sociétés
0416,AR,ارباب المقاولات الصناعية غير المنظمة كشركات او شبه شركات
0416,FR,patrons d'entreprises industrielles non organisées en sociétés ou quasi- sociétés
0416,AR,ارباب المقاوالت الصناعية غير المنظمة كشركات او شبه شركات
0417,FR,patrons d'entreprises artisanales non organisées en sociétés ou quasi-sociétés n.c.a
0417,AR,ارباب مقاوالت الصناعة التقليدية غير المنظمة كشركات او شبه شركات وغير مصنفة اعاله
0417,AR,ارباب مقاولات الصناعة التقليدية غير المنظمة كشركات او شبه شركات وغير مصنفة اعلاه
0417,FR,patrons d'entreprises artisanales non organisées en sociétés ou quasi-sociétés
0419,FR,autres patrons d'entreprises non organisées en sociétés ou quasi-sociétés n.c.a
0419,AR,ارباب المقاوالت غير المنظمة كشركات او شبه شركات اخرون وغير مصنفة اعاله
0419,AR,ارباب المقاولات غير المنظمة كشركات او شبه شركات اخرون وغير مصنفة اعلاه
0419,FR,autres patrons d'entreprises non organisées en sociétés ou quasi-sociétés n.c.a.
1111,FR,"physiciens, astronomes et assimilés"
1111,AR,فيزياييون، فلكيون ومن يشابهونهم
1112,FR,chimistes
1112,AR,كيماويون
1113,FR,"géologues, géophysiciens et assimilés"
1113,AR,جيولوجيون، جيوفزياييون ومن يشابهونهم
1114,AR,الراصدون الجو يون
1114,FR,météorologues
1114,AR,الراصدون الجو يو ن
1119,FR,"autres physiciens, chimistes et assimilés (excepté les ingénieurs) n.c.a"
1119,AR,اختصاصيو العلوم الفيزيايية، الكيماوية ومن يشابهونهم( ما عدا المهندسي ن )اخرون لم يصنفوا اعاله
1119,AR,اختصاصيو العلوم الفيزيايية، الكيماوية ومن يشابهونهم (ما عدا المهندسين) اخرون لم يصنفوا اعلاه
1119,FR,"autres physiciens, chimistes et assimilés (excepté les ingénieurs) n.c.a."
1121,FR,mathématiciens
1121,AR,االختصاصيون في الرياضيات
1121,AR,الاختصاصيون في الرياضيات
1122,FR,statisticiens
1122,AR,الاحصاييون
1122,AR,االحصاييون
1123,FR,actuaires et démographes
1123,AR,خبراء الحسابية والديمغرافيون
1123,AR,خبراء الحسابية و الديمغرافيون
1129,AR,الاختصاصيون في الرياضيات والاحصاييون وخبراء الحسابية والديمغرافيون ومن يشابهونهم اخرون لم يصنفوا اعلاه
1129,FR,"autres mathématiciens, statisticiens, actuaires, démographes, et assimilés n.c.a."
1129,AR,االختصاصيون في الرياضيات واالحصاييون و خبراء الحسابية و الديمغرافيون ومن يشابهونهم اخرون لم يصنفوا اعاله
1129,FR,"autres mathématiciens, statisticiens, actuaires, démographes, et assimilés n.c.a"
1131,AR,بيولوجيون، اختصاصيون في علم النباتات، اختصاصيون في علوم الحيوانات ومن يشابهونهم
1131,FR,"biologistes, botanistes, zoologistes et assimilés"
1132,FR,"agronomes, sylviculteurs et pisciculteurs"
1132,AR,االختصاصيون في الزراعة والحراجة والثروة السمكية
1132,AR,الاختصاصيون في الزراعة والحراجة والثروة السمكية
1133,AR,اختصاصيون في العقاقير والادوية، اختصاصيون في علم المكروبات، اختصاصيون في علم الامراض ومن يشابهونهم
1133,FR,"pharmacologistes, bactériologistes, pathologistes et assimilés"
1133,AR,،اختصاصيون في العقاقير واالدوية، اختصاصيون في علم المكروبات اختصاصيون في علم االمراض ومن يشابهونهم
1139,FR,autres spécialistes des sciences de la vie (excepté les spécialistes de la santé) n.c.a.
1139,AR,اختصاصيون في العلوم الطبيعية(ما عدا اختصاصي الصحة ) اخرون لم يصنفو ا اعاله
1139,FR,autres spécialistes des sciences de la vie (excepté les spécialistes de la santé) n.c.a
1139,AR,اختصاصيون في العلوم الطبيعية (ما عدا اختصاصي الصحة) اخرون لم يصنفوا اعلاه
1141,AR,المهندسون الصناعيون
1141,FR,ingénieurs industriels
1142,AR,المهندسون المدنيون
1142,FR,ingénieurs civils
1143,AR,مهندسو البيية
1143,FR,ingénieurs écologistes
1144,FR,ingénieurs mécaniciens
1144,AR,المهندسون الميكانيكيون
1145,FR,ingénieurs chimistes
1145,AR,المهندسون الكيمياييون
1146,AR,مهندسو الجيولوجيا والمناجم والتعدين
1146,FR,"ingénieurs géologues, ingénieurs des mines et de métallurgie"
1149,FR,autres spécialistes en sciences techniques (sauf électrotechniques) n.c.a.
1149,AR,مهندسون اخرون عدا اختصاصيي تكنولوجيا الكهرباء والالكترونيك لم يصنفوا اعلاه
1149,FR,autres spécialistes en sciences techniques (sauf électrotechniques) n.c.a
1149,AR,مهندسون اخرون عدا اختصاصي ي تكنولوجيا الكهرباء وااللكترونيك لم يصنفوا اعاله
1151,FR,ingénieurs électriciens et électromécaniciens
1151,AR,المهندسون الكهرباييون والكهروميكانيكيون
1151,AR,المهندسون الكهرباييون و ال كهروميكانيكيون
1152,AR,المهندسون االلكترونيون
1152,FR,ingénieurs électroniciens
1152,AR,المهندسون الالكترونيون
1153,FR,ingénieurs de télécommunications électroniques
1153,AR,مهندسو الاتصالات الالكترونية
1153,AR,مهندسو االتصاالت االلكترونية
1159,AR,مهندسون كهرباييون والكترونيون ومهندسو االتصاالت اخرون لم يصنفوا اعاله
1159,FR,"autres ingénieurs de l'électricité, de l'électrotechnique et de télécommunications n.c.a"
1159,FR,"autres ingénieurs de l'électricité, de l'électrotechnique et des télécommunications n.c.a."
1159,AR,مهندسون كهرباييون والكترونيون ومهندسو الاتصالات اخرون لم يصنفوا اعلاه
1161,AR,الطيارون
1161,FR,pilotes d'avions
1162,AR,ربابنة السفن واختصاصيو الملاحة والخدمات البحرية
1162,AR,ربابنة السفن واختصاصيو المالحة والخدمات البحرية
1162,FR,capitaines de navires et spécialistes de la navigation et des services maritimes
1169,AR,طيارون وربابنة السفن اخرون لم يصنفوا اعلاه
1169,FR,autres pilotes et capitaines de navires n.c.a
1169,FR,autres pilotes et capitaines de navires n.c.a.
1169,AR,طيارون وربابنة السفن اخرون لم يصنفوا اعاله
1171,AR,المهندسون المعماريون
1171,FR,architectes de bâtiment
1172,FR,architectes paysagistes
1172,AR,مهندسو المناظر
1173,AR,مهندسو تخطيط المدن والمرور
1173,FR,urbanistes et ingénieurs de la circulation routière
1174,FR,"cartographes, topographes et géomètres"
1174,AR,المساحون والخرايطيون والطبوغراف
1174,FR,"cartographes, topographes, géomètres"
1174,AR,الخرايطيون والطوبوغرافيون والمساحون
1175,FR,concepteurs modélistes de produits et de vêtements
1175,AR,مصممو المنتجات والمالبس
1175,AR,مصممو المنتجات والملابس
1176,AR,مصممو الجرافيك والوسايط المتعددة
1176,FR,concepteurs de graphiques et multimédia-graphistes
1176,FR,concepteurs graphistes et multimédia-graphistes
1179,AR,مهندسون معماريون ومهندسو تخطيط المدن ومساحون ومصممون اخرون لم يصنفوا اعلاه
1179,FR,"autres architectes, urbanistes, géomètres et concepteurs n.c.a."
1179,FR,"autres architectes, urbanistes, géomètres et concepteurs n.c.a"
1179,AR,مهندسون معماريون ومهندسو تخطيط المدن ومساحون ومصممون اخرون لم يصنفوا اعاله
1190,AR,اطر اخري مختصة في المهن العلمية والتقنية لم تصنف اعلاه
1190,FR,autres cadres spécialisés dans les professions scientifiques et techniques n.c.a.
1211,AR,اطباء الطب العام
1211,FR,médecins généralistes
1212,FR,chirurgiens et médecins spécialistes
1212,AR,اطباء جراحيون(دون جراحي االسنان )واطباء اختصاصيون
1212,AR,اطباء جراحيون (دون جراحي الاسنان) واطباء اختصاصيون
1213,AR,جراحيو الاسنان ومن يشابهونهم
1213,FR,chirurgiens dentistes et assimilés
1213,AR,جراحيو االسنان ومن يشابهونهم
1219,FR,autres médecins n.c.a.
1219,AR,اطباء اخرون لم يصنفوا اعاله
1219,FR,autres médecins n.c.a
1219,AR,اطباء اخرون لم يصنفوا اعلاه
1221,AR,االختصاصيون في التمريض(مستوي اطار)
1221,FR,cadres infirmiers
